Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,125,27,Female,University,No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,162,28,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,163,24,Male,University,No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,159,,Male,,No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,164,46,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,170,57,Male,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,169,21,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,211,42,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,210,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,213,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,214,36,Male,,No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,212,58,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,202,30,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,200,31,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,194,27,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,201,38,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,207,43,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,205,30,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,206,26,Female,University,No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,204,40,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,8,31,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,1,57,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,,6,33,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,,26,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,178,47,Male,E.P.P (ambaratonga voalohany),Yes,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,179,36,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,177,25,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,181,26,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,182,42,Male,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,180,29,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,183,32,Male,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,184,72,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,186,27,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,187,31,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,208,28,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,193,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,195,27,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,196,47,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,209,35,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,197,55,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Very big problem,198,38,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,,245,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,237,28,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,,247,34,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,127,26,Male,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,246,42,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,120,33,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,No problem,197,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,165,39,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,215,20,Female,University,Yes,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,225,48,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,220,29,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,221,50,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,229,28,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,228,60,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,222,46,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,,216,,Female,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,230,38,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,39,28,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,168,34,Male,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,167,60,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,223,24,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,224,31,Male,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,158,43,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Small problem,218,23,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,166,40,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,127,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Problem,128,27,Female,Tsy mianatra,No,No,expectations
a lack of communication between all parts of my community involved in the boarder topic of alternative livelihoods.,Big problem,129,39,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,61,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,86,31,Male,Tsy mianatra,No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,105,34,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,,79,18,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,75,33,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Very big problem,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Very big problem,69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,93,28,Male,University,No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,74,32,Male,Tsy mianatra,No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Very big problem,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Very big problem,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Very big problem,134,20,Male,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,133,25,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Very big problem,130,38,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Very big problem,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,No problem,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,108,26,Female,E.P.P (ambaratonga voalohany),No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,111,33,Female,Tsy mianatra,No,No,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
